"ClientId";"DataExtracao";"Score_Credito";"Estado";"Gênero";"Idade";"Tempo_Cliente";"Limite_Credito_Mercado";"Qte_Categorias";"Usa_Cartao_Credito";"Programa_Fidelidade";"Sum_Pedidos_Acumulados";"DataUltimaTransacao";"Churn"
"345.568";"2019-06-30";"619";"São Paulo";"Feminino";"42";"2";"0";"1";"1";"1";"422,287";"2019-09-14";"1"
"345.569";"2019-06-30";"608";"Rio de Janeiro";"Feminino";"41";"1";"838,0786";"1";"0";"1";"468,9274166667";"2019-10-05";"0"
"345.570";"2019-06-30";"502";"São Paulo";"Feminino";"42";"8";"1.596,608";"3";"1";"0";"474,714875";"2019-08-20";"1"
"345.571";"2019-06-30";"699";"São Paulo";"Feminino";"39";"1";"0";"2";"0";"0";"390,9442916667";"2019-10-21";"0"
"345.572";"2019-06-30";"850";"Rio de Janeiro";"Feminino";"43";"2";"1.255,1082";"1";"1";"1";"329,5170833333";"2019-10-26";"0"
"345.573";"2019-06-30";"645";"Rio de Janeiro";"Masculino";"44";"8";"1.137,5578";"2";"1";"0";"623,9862916667";"2019-09-07";"1"
"345.574";"2019-06-30";"822";"São Paulo";"Masculino";"50";"7";"0";"2";"1";"1";"41,9283333333";"2019-10-07";"0"
"345.575";"2019-06-30";"376";"Minas Gerais";"Feminino";"29";"4";"1.150,4674";"4";"1";"0";"497,2786666667";"2019-08-17";"1"
"345.576";"2019-06-30";"501";"São Paulo";"Masculino";"44";"4";"1.420,5107";"2";"0";"1";"312,2520833333";"2019-10-05";"0"
"345.577";"2019-06-30";"684";"São Paulo";"Masculino";"27";"2";"1.346,0388";"1";"1";"1";"298,8572083333";"2019-10-24";"0"
"345.578";"2019-06-30";"528";"São Paulo";"Masculino";"31";"6";"1.020,1672";"2";"0";"0";"334,088";"2019-10-14";"0"
"345.579";"2019-06-30";"497";"Rio de Janeiro";"Masculino";"24";"3";"0";"2";"1";"0";"318,2917083333";"2019-10-07";"0"
"345.580";"2019-06-30";"476";"São Paulo";"Feminino";"34";"10";"0";"2";"1";"0";"109,42075";"2019-10-04";"0"
"345.581";"2019-06-30";"549";"São Paulo";"Feminino";"25";"5";"0";"2";"0";"0";"795,2407916667";"2019-10-28";"0"
"345.582";"2019-06-30";"635";"Rio de Janeiro";"Feminino";"35";"7";"0";"2";"1";"1";"274,7985416667";"2019-10-20";"0"
"345.583";"2019-06-30";"616";"Minas Gerais";"Masculino";"45";"3";"1.431,2941";"2";"0";"1";"268,03025";"2019-10-28";"0"
"345.584";"2019-06-30";"653";"Minas Gerais";"Masculino";"58";"1";"1.326,0288";"1";"1";"0";"21,2402916667";"2019-09-21";"1"
"345.585";"2019-06-30";"549";"Rio de Janeiro";"Feminino";"24";"9";"0";"2";"1";"1";"60,0267083333";"2019-10-13";"0"
"345.586";"2019-06-30";"587";"Rio de Janeiro";"Masculino";"45";"6";"0";"1";"0";"0";"661,1867083333";"2019-10-20";"0"
"345.587";"2019-06-30";"726";"São Paulo";"Feminino";"24";"6";"0";"2";"1";"1";"228,0167916667";"2019-10-26";"0"
"345.588";"2019-06-30";"732";"São Paulo";"Masculino";"41";"8";"0";"2";"1";"1";"712,0257083333";"2019-10-09";"0"
"345.589";"2019-06-30";"636";"Rio de Janeiro";"Feminino";"32";"8";"0";"2";"1";"0";"577,3144166667";"2019-10-12";"0"
"345.590";"2019-06-30";"510";"Rio de Janeiro";"Feminino";"38";"4";"0";"1";"1";"0";"495,4730416667";"2019-07-18";"1"
"345.591";"2019-06-30";"669";"São Paulo";"Masculino";"46";"3";"0";"2";"0";"1";"35,365625";"2019-10-20";"0"
"345.592";"2019-06-30";"846";"São Paulo";"Feminino";"38";"5";"0";"1";"1";"1";"781,734";"2019-10-11";"0"
"345.593";"2019-06-30";"577";"São Paulo";"Masculino";"25";"3";"0";"2";"0";"1";"518,7845416667";"2019-10-10";"0"
"345.594";"2019-06-30";"756";"Minas Gerais";"Masculino";"36";"2";"1.368,1564";"1";"1";"1";"708,508125";"2019-10-10";"0"
"345.595";"2019-06-30";"571";"São Paulo";"Masculino";"44";"9";"0";"2";"0";"0";"160,1389583333";"2019-10-03";"0"
"345.596";"2019-06-30";"574";"Minas Gerais";"Feminino";"43";"3";"1.413,4943";"1";"1";"1";"417,447625";"2019-10-06";"0"
"345.597";"2019-06-30";"411";"São Paulo";"Masculino";"29";"0";"596,9717";"2";"1";"1";"222,8467083333";"2019-10-29";"0"
"345.598";"2019-06-30";"591";"Rio de Janeiro";"Feminino";"39";"3";"0";"3";"1";"0";"585,2890833333";"2019-08-25";"1"
"345.599";"2019-06-30";"533";"São Paulo";"Masculino";"36";"7";"853,117";"1";"0";"1";"653,049625";"2019-10-20";"0"
"345.600";"2019-06-30";"553";"Minas Gerais";"Masculino";"41";"9";"1.101,1254";"2";"0";"0";"341,2450416667";"2019-10-09";"0"
"345.601";"2019-06-30";"520";"Rio de Janeiro";"Feminino";"42";"6";"0";"2";"1";"1";"143,3772916667";"2019-10-30";"0"
"345.602";"2019-06-30";"722";"Rio de Janeiro";"Feminino";"29";"9";"0";"2";"1";"1";"591,8044583333";"2019-10-28";"0"
"345.603";"2019-06-30";"475";"São Paulo";"Feminino";"45";"0";"1.342,6404";"1";"1";"0";"115,929125";"2019-07-14";"1"
"345.604";"2019-06-30";"490";"Rio de Janeiro";"Masculino";"31";"3";"1.452,6023";"1";"0";"1";"475,2782083333";"2019-10-28";"0"
"345.605";"2019-06-30";"804";"Rio de Janeiro";"Masculino";"33";"7";"765,486";"1";"0";"1";"410,2227083333";"2019-10-22";"0"
"345.606";"2019-06-30";"850";"São Paulo";"Masculino";"36";"7";"0";"1";"1";"1";"170,05375";"2019-10-21";"0"
"345.607";"2019-06-30";"582";"Minas Gerais";"Masculino";"41";"6";"703,4948";"2";"0";"1";"741,9751666667";"2019-10-12";"0"
"345.608";"2019-06-30";"472";"Rio de Janeiro";"Masculino";"40";"4";"0";"1";"1";"0";"292,30925";"2019-10-19";"0"
